rutina,nivel,n,ipc_q1,ipc_mediana,ipc_q3,ipc_iqr
iter,asm,16,1.6726,1.6772,1.6812,.0086
iter,asm,32,1.5824,1.5877,1.5891,.0067
iter,asm,64,1.5313,1.5388,1.5404,.0091
iter,asm,128,1.3749,1.3859,1.3937,.0188
iter,asm,256,1.2182,1.2218,1.2226,.0044
iter,asm,512,1.0975,1.0978,1.0984,.0009
iter,O0,16,1.3944,1.3997,1.4008,.0064
iter,O0,32,1.0301,1.0355,1.0451,.0150
iter,O0,64,.9439,.9494,.9539,.0100
iter,O0,128,.9724,.9737,.9759,.0035
iter,O0,256,.9957,.9983,.9991,.0034
iter,O0,512,1.0045,1.0062,1.0067,.0022
iter,O2,16,3.8937,4.0104,4.1088,.2151
iter,O2,32,2.7403,2.7681,2.7774,.0371
iter,O2,64,1.8693,1.9075,1.9231,.0538
iter,O2,128,1.5089,1.5322,1.5486,.0397
iter,O2,256,1.1912,1.2103,1.2155,.0243
iter,O2,512,1.0766,1.0895,1.0925,.0159
rec,asm,16,2.0037,2.0513,2.0773,.0736
rec,asm,32,.9018,.9198,.9314,.0296
rec,asm,64,.7042,.7086,.7121,.0079
rec,asm,128,.6851,.6969,.7026,.0175
rec,asm,256,.6842,.6935,.6996,.0154
rec,asm,512,.6812,.6891,.6964,.0152
rec,O0,16,1.3404,1.3566,1.3647,.0243
rec,O0,32,.7114,.7270,.7359,.0245
rec,O0,64,.5396,.5418,.5421,.0025
rec,O0,128,.5445,.5459,.5465,.0020
rec,O0,256,.5471,.5475,.5478,.0007
rec,O0,512,.5437,.5472,.5485,.0048
rec,O2,16,3.1988,3.2841,3.3929,.1941
rec,O2,32,2.9969,3.0307,3.0466,.0497
rec,O2,64,2.2543,2.2911,2.3034,.0491
rec,O2,128,1.8601,1.8640,1.8698,.0097
rec,O2,256,1.5252,1.5378,1.5413,.0161
rec,O2,512,1.4145,1.4190,1.4215,.0070
memo,asm,16,1.0131,1.0271,1.2752,.2621
memo,asm,32,1.0190,1.1392,1.1481,.1291
memo,asm,64,1.0315,1.0352,1.0928,.0613
memo,asm,128,1.0314,1.0341,1.0578,.0264
memo,asm,256,1.0311,1.0365,1.0425,.0114
memo,asm,512,1.0336,1.0372,1.0409,.0073
memo,O0,16,1.2925,1.5925,1.5984,.3059
memo,O0,32,1.3305,1.4712,1.4728,.1423
memo,O0,64,1.3403,1.4080,1.4105,.0702
memo,O0,128,1.3532,1.3561,1.3711,.0179
memo,O0,256,1.3663,1.3717,1.3744,.0081
memo,O0,512,1.3549,1.3628,1.3675,.0126
memo,O2,16,.9380,1.2399,1.2443,.3063
memo,O2,32,.9423,.9529,1.0819,.1396
memo,O2,64,.9507,.9519,1.0163,.0656
memo,O2,128,.9574,.9835,.9914,.0340
memo,O2,256,.9609,.9635,.9698,.0089
memo,O2,512,.9546,.9557,.9596,.0050
